Name,Generation,Legendary,Total,Sp. Atk,Sp. Def,Defense,Attack,HP,Speed,Type 1,Number
GarchompMega Garchomp,4,0,700,120,95,115,170,108,92,14,495
Munchlax,4,0,390,40,85,40,85,135,5,0,496
Riolu,4,0,285,35,40,40,70,40,60,4,497
Lucario,4,0,525,115,70,70,110,70,90,4,498
LucarioMega Lucario,4,0,625,140,70,88,145,70,112,4,499
Hippopotas,4,0,330,38,42,78,72,68,32,7,500
Hippowdon,4,0,525,68,72,118,112,108,47,7,501
Skorupi,4,0,330,30,55,90,50,40,65,6,502
Drapion,4,0,500,60,75,110,90,70,95,6,503
Croagunk,4,0,300,61,40,40,61,48,50,6,504
Toxicroak,4,0,490,86,65,65,106,83,85,6,505
Carnivine,4,0,454,90,72,72,100,74,46,1,506
Finneon,4,0,330,49,61,56,49,49,66,3,507
Lumineon,4,0,460,69,86,76,69,69,91,3,508
Mantyke,4,0,345,60,120,50,20,45,50,3,509
Snover,4,0,334,62,60,50,62,60,40,1,510
Abomasnow,4,0,494,92,85,75,92,90,60,1,511
AbomasnowMega Abomasnow,4,0,594,132,105,105,132,90,30,1,512
Weavile,4,0,510,45,85,65,120,70,125,15,513
Magnezone,4,0,535,130,90,115,70,70,60,11,514
Lickilicky,4,0,515,80,95,95,85,110,50,0,515
Rhyperior,4,0,535,55,55,130,140,115,40,7,516
Tangrowth,4,0,535,110,50,125,100,100,50,1,517
Electivire,4,0,540,95,85,67,123,75,95,11,518
Magmortar,4,0,540,125,95,67,95,75,83,2,519
Togekiss,4,0,545,120,115,95,50,85,80,17,520
Yanmega,4,0,515,116,56,86,76,86,95,9,521
Leafeon,4,0,525,60,65,130,110,65,95,1,522
Glaceon,4,0,525,130,95,110,60,65,65,13,523
Gliscor,4,0,510,45,75,125,95,75,95,7,524
Mamoswine,4,0,530,70,60,80,130,110,80,13,525
Porygon-Z,4,0,535,135,75,70,80,85,90,0,526
Gallade,4,0,518,65,115,65,125,68,80,12,527
GalladeMega Gallade,4,0,618,65,115,95,165,68,110,12,528
Probopass,4,0,525,75,150,145,55,60,40,8,529
Dusknoir,4,0,525,65,135,135,100,45,45,10,530
Froslass,4,0,480,80,70,70,80,70,110,13,531
Rotom,4,0,440,95,77,77,50,50,91,11,532
RotomHeat Rotom,4,0,520,105,107,107,65,50,86,11,533
RotomWash Rotom,4,0,520,105,107,107,65,50,86,11,534
RotomFrost Rotom,4,0,520,105,107,107,65,50,86,11,535
RotomFan Rotom,4,0,520,105,107,107,65,50,86,11,536
RotomMow Rotom,4,0,520,105,107,107,65,50,86,11,537
Uxie,4,1,580,75,130,130,75,75,95,12,538
Mesprit,4,1,580,105,105,105,105,80,80,12,539
Azelf,4,1,580,125,70,70,125,75,115,12,540
Dialga,4,1,680,150,100,120,120,100,90,16,541
Palkia,4,1,680,150,120,100,120,90,100,3,542
Heatran,4,1,600,130,106,106,90,91,77,2,543
Regigigas,4,1,670,80,110,110,160,110,100,0,544
GiratinaAltered Forme,4,1,680,100,120,120,100,150,90,10,545
GiratinaOrigin Forme,4,1,680,120,100,100,120,150,90,10,546
Cresselia,4,0,600,75,130,120,70,120,85,12,547
Phione,4,0,480,80,80,80,80,80,80,3,548
Manaphy,4,0,600,100,100,100,100,100,100,3,549
Darkrai,4,1,600,135,90,90,90,70,125,15,550
ShayminLand Forme,4,1,600,100,100,100,100,100,100,1,551
ShayminSky Forme,4,1,600,120,75,75,103,100,127,1,552
Arceus,4,1,720,120,120,120,120,120,120,0,553
Victini,5,1,600,100,100,100,100,100,100,12,554
Snivy,5,0,308,45,55,55,45,45,63,1,555
Servine,5,0,413,60,75,75,60,60,83,1,556
Serperior,5,0,528,75,95,95,75,75,113,1,557
Tepig,5,0,308,45,45,45,63,65,45,2,558
Pignite,5,0,418,70,55,55,93,90,55,2,559
Emboar,5,0,528,100,65,65,123,110,65,2,560
Oshawott,5,0,308,63,45,45,55,55,45,3,561
Dewott,5,0,413,83,60,60,75,75,60,3,562
Samurott,5,0,528,108,70,85,100,95,70,3,563
Patrat,5,0,255,35,39,39,55,45,42,0,564
Watchog,5,0,420,60,69,69,85,60,77,0,565
Lillipup,5,0,275,25,45,45,60,45,55,0,566
Herdier,5,0,370,35,65,65,80,65,60,0,567
Stoutland,5,0,500,45,90,90,110,85,80,0,568
Purrloin,5,0,281,50,37,37,50,41,66,15,569
Liepard,5,0,446,88,50,50,88,64,106,15,570
Pansage,5,0,316,53,48,48,53,50,64,1,571
Simisage,5,0,498,98,63,63,98,75,101,1,572
Pansear,5,0,316,53,48,48,53,50,64,2,573
Simisear,5,0,498,98,63,63,98,75,101,2,574
Panpour,5,0,316,53,48,48,53,50,64,3,575
Simipour,5,0,498,98,63,63,98,75,101,3,576
Munna,5,0,292,67,55,45,25,76,24,12,577
Musharna,5,0,487,107,95,85,55,116,29,12,578
Pidove,5,0,264,36,30,50,55,50,43,0,579
Tranquill,5,0,358,50,42,62,77,62,65,0,580
Unfezant,5,0,488,65,55,80,115,80,93,0,581
Blitzle,5,0,295,50,32,32,60,45,76,11,582
Zebstrika,5,0,497,80,63,63,100,75,116,11,583
Roggenrola,5,0,280,25,25,85,75,55,15,8,584
Boldore,5,0,390,50,40,105,105,70,20,8,585
Gigalith,5,0,515,60,80,130,135,85,25,8,586
Woobat,5,0,313,55,43,43,45,55,72,12,587
Swoobat,5,0,425,77,55,55,57,67,114,12,588
Drilbur,5,0,328,30,45,40,85,60,68,7,589
Excadrill,5,0,508,50,65,60,135,110,88,7,590
Audino,5,0,445,60,86,86,60,103,50,0,591
AudinoMega Audino,5,0,545,80,126,126,60,103,50,0,592
Timburr,5,0,305,25,35,55,80,75,35,4,593
Gurdurr,5,0,405,40,50,85,105,85,40,4,594
Conkeldurr,5,0,505,55,65,95,140,105,45,4,595
Tympole,5,0,294,50,40,40,50,50,64,3,596
Palpitoad,5,0,384,65,55,55,65,75,69,3,597
Seismitoad,5,0,509,85,75,75,95,105,74,3,598
Throh,5,0,465,30,85,85,100,120,45,4,599
Sawk,5,0,465,30,75,75,125,75,85,4,600
Sewaddle,5,0,310,40,60,70,53,45,42,9,601
Swadloon,5,0,380,50,80,90,63,55,42,9,602
Leavanny,5,0,500,70,80,80,103,75,92,9,603
Venipede,5,0,260,30,39,59,45,30,57,9,604
Whirlipede,5,0,360,40,79,99,55,40,47,9,605
Scolipede,5,0,485,55,69,89,100,60,112,9,606
Cottonee,5,0,280,37,50,60,27,40,66,1,607
Whimsicott,5,0,480,77,75,85,67,60,116,1,608
Petilil,5,0,280,70,50,50,35,45,30,1,609
Lilligant,5,0,480,110,75,75,60,70,90,1,610
Basculin,5,0,460,80,55,65,92,70,98,3,611
Sandile,5,0,292,35,35,35,72,50,65,7,612
Krokorok,5,0,351,45,45,45,82,60,74,7,613
Krookodile,5,0,519,65,70,80,117,95,92,7,614
Darumaka,5,0,315,15,45,45,90,70,50,2,615
DarmanitanStandard Mode,5,0,480,30,55,55,140,105,95,2,616
DarmanitanZen Mode,5,0,540,140,105,105,30,105,55,2,617
Maractus,5,0,461,106,67,67,86,75,60,1,618
Dwebble,5,0,325,35,35,85,65,50,55,9,619
Crustle,5,0,475,65,75,125,95,70,45,9,620
Scraggy,5,0,348,35,70,70,75,50,48,15,621
Scrafty,5,0,488,45,115,115,90,65,58,15,622
Sigilyph,5,0,490,103,80,80,58,72,97,12,623
Yamask,5,0,303,55,65,85,30,38,30,10,624
Cofagrigus,5,0,483,95,105,145,50,58,30,10,625
Tirtouga,5,0,355,53,45,103,78,54,22,3,626
Carracosta,5,0,495,83,65,133,108,74,32,3,627
Archen,5,0,401,74,45,45,112,55,70,8,628
Archeops,5,0,567,112,65,65,140,75,110,8,629
Trubbish,5,0,329,40,62,62,50,50,65,6,630
Garbodor,5,0,474,60,82,82,95,80,75,6,631
Zorua,5,0,330,80,40,40,65,40,65,15,632
Zoroark,5,0,510,120,60,60,105,60,105,15,633
Minccino,5,0,300,40,40,40,50,55,75,0,634
Cinccino,5,0,470,65,60,60,95,75,115,0,635
Gothita,5,0,290,55,65,50,30,45,45,12,636
Gothorita,5,0,390,75,85,70,45,60,55,12,637
Gothitelle,5,0,490,95,110,95,55,70,65,12,638
Solosis,5,0,290,105,50,40,30,45,20,12,639
Duosion,5,0,370,125,60,50,40,65,30,12,640
Reuniclus,5,0,490,125,85,75,65,110,30,12,641
Ducklett,5,0,305,44,50,50,44,62,55,3,642
Swanna,5,0,473,87,63,63,87,75,98,3,643
Vanillite,5,0,305,65,60,50,50,36,44,13,644
Vanillish,5,0,395,80,75,65,65,51,59,13,645
Vanilluxe,5,0,535,110,95,85,95,71,79,13,646
Deerling,5,0,335,40,50,50,60,60,75,0,647
Sawsbuck,5,0,475,60,70,70,100,80,95,0,648
Emolga,5,0,428,75,60,60,75,55,103,11,649
Karrablast,5,0,315,40,45,45,75,50,60,9,650
Escavalier,5,0,495,60,105,105,135,70,20,9,651
Foongus,5,0,294,55,55,45,55,69,15,1,652
Amoonguss,5,0,464,85,80,70,85,114,30,1,653
Frillish,5,0,335,65,85,50,40,55,40,3,654
Jellicent,5,0,480,85,105,70,60,100,60,3,655
Alomomola,5,0,470,40,45,80,75,165,65,3,656
Joltik,5,0,319,57,50,50,47,50,65,9,657
Galvantula,5,0,472,97,60,60,77,70,108,9,658
Ferroseed,5,0,305,24,86,91,50,44,10,1,659
Ferrothorn,5,0,489,54,116,131,94,74,20,1,660
Klink,5,0,300,45,60,70,55,40,30,16,661
Klang,5,0,440,70,85,95,80,60,50,16,662
Klinklang,5,0,520,70,85,115,100,60,90,16,663
Tynamo,5,0,275,45,40,40,55,35,60,11,664
Eelektrik,5,0,405,75,70,70,85,65,40,11,665
Eelektross,5,0,515,105,80,80,115,85,50,11,666
Elgyem,5,0,335,85,55,55,55,55,30,12,667
Beheeyem,5,0,485,125,95,75,75,75,40,12,668
Litwick,5,0,275,65,55,55,30,50,20,10,669
Lampent,5,0,370,95,60,60,40,60,55,10,670
Chandelure,5,0,520,145,90,90,55,60,80,10,671
Axew,5,0,320,30,40,60,87,46,57,14,672
Fraxure,5,0,410,40,50,70,117,66,67,14,673
Haxorus,5,0,540,60,70,90,147,76,97,14,674
Cubchoo,5,0,305,60,40,40,70,55,40,13,675
Beartic,5,0,485,70,80,80,110,95,50,13,676
Cryogonal,5,0,485,95,135,30,50,70,105,13,677
Shelmet,5,0,305,40,65,85,40,50,25,9,678
Accelgor,5,0,495,100,60,40,70,80,145,9,679
Stunfisk,5,0,471,81,99,84,66,109,32,7,680
Mienfoo,5,0,350,55,50,50,85,45,65,4,681
Mienshao,5,0,510,95,60,60,125,65,105,4,682
Druddigon,5,0,485,60,90,90,120,77,48,14,683
Golett,5,0,303,35,50,50,74,59,35,7,684
Golurk,5,0,483,55,80,80,124,89,55,7,685
Pawniard,5,0,340,40,40,70,85,45,60,15,686
Bisharp,5,0,490,60,70,100,125,65,70,15,687
Bouffalant,5,0,490,40,95,95,110,95,55,0,688
Rufflet,5,0,350,37,50,50,83,70,60,0,689
Braviary,5,0,510,57,75,75,123,100,80,0,690
Vullaby,5,0,370,45,65,75,55,70,60,15,691
Mandibuzz,5,0,510,55,95,105,65,110,80,15,692
Heatmor,5,0,484,105,66,66,97,85,65,2,693
Durant,5,0,484,48,48,112,109,58,109,9,694
Deino,5,0,300,45,50,50,65,52,38,15,695
Zweilous,5,0,420,65,70,70,85,72,58,15,696
Hydreigon,5,0,600,125,90,90,105,92,98,15,697
Larvesta,5,0,360,50,55,55,85,55,60,9,698
Volcarona,5,0,550,135,105,65,60,85,100,9,699
Cobalion,5,1,580,90,72,129,90,91,108,16,700
Terrakion,5,1,580,72,90,90,129,91,108,8,701
Virizion,5,1,580,90,129,72,90,91,108,1,702
TornadusIncarnate Forme,5,1,580,125,80,70,115,79,111,5,703
TornadusTherian Forme,5,1,580,110,90,80,100,79,121,5,704
ThundurusIncarnate Forme,5,1,580,125,80,70,115,79,111,11,705
ThundurusTherian Forme,5,1,580,145,80,70,105,79,101,11,706
Reshiram,5,1,680,150,120,100,120,100,90,14,707
Zekrom,5,1,680,120,100,120,150,100,90,14,708
LandorusIncarnate Forme,5,1,600,115,80,90,125,89,101,7,709
LandorusTherian Forme,5,1,600,105,80,90,145,89,91,7,710
Kyurem,5,1,660,130,90,90,130,125,95,14,711
KyuremBlack Kyurem,5,1,700,120,90,100,170,125,95,14,712
KyuremWhite Kyurem,5,1,700,170,100,90,120,125,95,14,713
KeldeoOrdinary Forme,5,0,580,129,90,90,72,91,108,3,714
KeldeoResolute Forme,5,0,580,129,90,90,72,91,108,3,715
MeloettaAria Forme,5,0,600,128,128,77,77,100,90,0,716
MeloettaPirouette Forme,5,0,600,77,77,90,128,100,128,0,717
Genesect,5,0,600,120,95,95,120,71,99,9,718
Chespin,6,0,313,48,45,65,61,56,38,1,719
Quilladin,6,0,405,56,58,95,78,61,57,1,720
Chesnaught,6,0,530,74,75,122,107,88,64,1,721
Fennekin,6,0,307,62,60,40,45,40,60,2,722
Braixen,6,0,409,90,70,58,59,59,73,2,723
Delphox,6,0,534,114,100,72,69,75,104,2,724
Froakie,6,0,314,62,44,40,56,41,71,3,725
Frogadier,6,0,405,83,56,52,63,54,97,3,726
Greninja,6,0,530,103,71,67,95,72,122,3,727
Bunnelby,6,0,237,32,36,38,36,38,57,0,728
Diggersby,6,0,423,50,77,77,56,85,78,0,729
Fletchling,6,0,278,40,38,43,50,45,62,0,730
Fletchinder,6,0,382,56,52,55,73,62,84,2,731
Talonflame,6,0,499,74,69,71,81,78,126,2,732
Scatterbug,6,0,200,27,25,40,35,38,35,9,733
Spewpa,6,0,213,27,30,60,22,45,29,9,734
Vivillon,6,0,411,90,50,50,52,80,89,9,735
Litleo,6,0,369,73,54,58,50,62,72,2,736
Pyroar,6,0,507,109,66,72,68,86,106,2,737
Flabթbթ,6,0,303,61,79,39,38,44,42,17,738
Floette,6,0,371,75,98,47,45,54,52,17,739
Florges,6,0,552,112,154,68,65,78,75,17,740
Skiddo,6,0,350,62,57,48,65,66,52,1,741
Gogoat,6,0,531,97,81,62,100,123,68,1,742
Pancham,6,0,348,46,48,62,82,67,43,4,743
Pangoro,6,0,495,69,71,78,124,95,58,4,744
Furfrou,6,0,472,65,90,60,80,75,102,0,745
Espurr,6,0,355,63,60,54,48,62,68,12,746
MeowsticMale,6,0,466,83,81,76,48,74,104,12,747
MeowsticFemale,6,0,466,83,81,76,48,74,104,12,748
Honedge,6,0,325,35,37,100,80,45,28,16,749
Doublade,6,0,448,45,49,150,110,59,35,16,750
AegislashBlade Forme,6,0,520,150,50,50,150,60,60,16,751
AegislashShield Forme,6,0,520,50,150,150,50,60,60,16,752
Spritzee,6,0,341,63,65,60,52,78,23,17,753
Aromatisse,6,0,462,99,89,72,72,101,29,17,754
Swirlix,6,0,341,59,57,66,48,62,49,17,755
Slurpuff,6,0,480,85,75,86,80,82,72,17,756
Inkay,6,0,288,37,46,53,54,53,45,15,757
Malamar,6,0,482,68,75,88,92,86,73,15,758
Binacle,6,0,306,39,56,67,52,42,50,8,759
Barbaracle,6,0,500,54,86,115,105,72,68,8,760
Skrelp,6,0,320,60,60,60,60,50,30,6,761
Dragalge,6,0,494,97,123,90,75,65,44,6,762
Clauncher,6,0,330,58,63,62,53,50,44,3,763
Clawitzer,6,0,500,120,89,88,73,71,59,3,764
Helioptile,6,0,289,61,43,33,38,44,70,11,765
Heliolisk,6,0,481,109,94,52,55,62,109,11,766
Tyrunt,6,0,362,45,45,77,89,58,48,8,767
Tyrantrum,6,0,521,69,59,119,121,82,71,8,768
Amaura,6,0,362,67,63,50,59,77,46,8,769
Aurorus,6,0,521,99,92,72,77,123,58,8,770
Sylveon,6,0,525,110,130,65,65,95,60,17,771
Hawlucha,6,0,500,74,63,75,92,78,118,4,772
Dedenne,6,0,431,81,67,57,58,67,101,11,773
Carbink,6,0,500,50,150,150,50,50,50,8,774
Goomy,6,0,300,55,75,35,50,45,40,14,775
Sliggoo,6,0,452,83,113,53,75,68,60,14,776
Goodra,6,0,600,110,150,70,100,90,80,14,777
Klefki,6,0,470,80,87,91,80,57,75,16,778
Phantump,6,0,309,50,60,48,70,43,38,10,779
Trevenant,6,0,474,65,82,76,110,85,56,10,780
PumpkabooAverage Size,6,0,335,44,55,70,66,49,51,10,781
PumpkabooSmall Size,6,0,335,44,55,70,66,44,56,10,782
PumpkabooLarge Size,6,0,335,44,55,70,66,54,46,10,783
PumpkabooSuper Size,6,0,335,44,55,70,66,59,41,10,784
GourgeistAverage Size,6,0,494,58,75,122,90,65,84,10,785
GourgeistSmall Size,6,0,494,58,75,122,85,55,99,10,786
GourgeistLarge Size,6,0,494,58,75,122,95,75,69,10,787
GourgeistSuper Size,6,0,494,58,75,122,100,85,54,10,788
Bergmite,6,0,304,32,35,85,69,55,28,13,789
Avalugg,6,0,514,44,46,184,117,95,28,13,790
Noibat,6,0,245,45,40,35,30,40,55,5,791
Noivern,6,0,535,97,80,80,70,85,123,5,792
Xerneas,6,1,680,131,98,95,131,126,99,17,793
Yveltal,6,1,680,131,98,95,131,126,99,15,794
Zygarde50% Forme,6,1,600,81,95,121,100,108,95,14,795
Diancie,6,1,600,100,150,150,100,50,50,8,796
DiancieMega Diancie,6,1,700,160,110,110,160,50,110,8,797
HoopaHoopa Confined,6,1,600,150,130,60,110,80,70,12,798
HoopaHoopa Unbound,6,1,680,170,130,60,160,80,80,12,799
Volcanion,6,1,600,130,90,120,110,80,70,2,800
