"","DataSet","n","GeneSymbol","GeneID","GeneName","Chr","FoldChange","Regulation","FDR","Location","Type","Depleted","SCNT","miNT","TSA","FoldChange_allR"
"435","Srirattana2017_SF2",NA,"ANXA5","281626","annexin A5",NA,3.964118253,"Down",0.0266,"Plasma Membrane","transporter",1,0,1,1,-3.964118253
"436","Srirattana2017_SF2",NA,"COTL1","617165","coactosin like F-actin binding protein 1",NA,3.002158195,"Up",0.0266,"Cytoplasm","other",1,0,1,1,3.002158195
"437","Srirattana2017_SF2",NA,"MASTL","540206","microtubule associated serine/threonine kinase like",NA,5.285353623,"Down",0.0266,"Cytoplasm","kinase",1,0,1,1,-5.285353623
"438","Srirattana2017_SF2",NA,"MFSD5","507921","major facilitator superfamily domain containing 5",NA,9.740528149,"Up",0.0266,"Other","transporter",1,0,1,1,9.740528149
"439","Srirattana2017_SF2",NA,"PHRF1","100126170","PHD and ring finger domains 1",NA,23.10286713,"Up",0.0266,"Nucleus","other",1,0,1,1,23.10286713
"440","Srirattana2017_SF2",NA,"RPL18","509163","ribosomal protein L18",NA,3.226567037,"Up",0.0266,"Cytoplasm","other",1,0,1,1,3.226567037
"441","Srirattana2017_SF2",NA,"SLC46A1","511097","solute carrier family 46 member 1",NA,31.60322757,"Up",0.0266,"Plasma Membrane","transporter",1,0,1,1,31.60322757
"442","Srirattana2017_SF2",NA,"ZNF740","516327","zinc finger protein 740",NA,38.98912844,"Up",0.0266,"Other","other",1,0,1,1,38.98912844
"443","Srirattana2017_SF2",NA,"HNRNPH3","539850","heterogeneous nuclear ribonucleoprotein H3",NA,2.832350876,"Down",0.0268,"Nucleus","other",1,0,1,1,-2.832350876
"444","Srirattana2017_SF2",NA,"HSP90B1","282646","heat shock protein 90 beta family member 1",NA,2.510543983,"Down",0.0268,"Cytoplasm","other",1,0,1,1,-2.510543983
"445","Srirattana2017_SF2",NA,"TBCE","505066","tubulin folding cofactor E",NA,3.724379279,"Down",0.0268,"Cytoplasm","other",1,0,1,1,-3.724379279
"446","Srirattana2017_SF2",NA,"ESRP2","510878","epithelial splicing regulatory protein 2",NA,5.285353623,"Up",0.0269,"Nucleus","other",1,0,1,1,5.285353623
"447","Srirattana2017_SF2",NA,"TCEB1","540859","transcription elongation factor B subunit 1",NA,3.175535724,"Down",0.0269,"Nucleus","transcription regulator",1,0,1,1,-3.175535724
"448","Srirattana2017_SF2",NA,"SYMPK","100337373","symplekin",NA,25.77677731,"Up",0.027,"Cytoplasm","other",1,0,1,1,25.77677731
"449","Srirattana2017_SF2",NA,"TRAPPC12","615707","trafficking protein particle complex 12",NA,36.52975063,"Up",0.027,"Other","other",1,0,1,1,36.52975063
"450","Srirattana2017_SF2",NA,"ABCF3","530975","ATP binding cassette subfamily F member 3",NA,39.64315833,"Up",0.0271,"Other","transporter",1,0,1,1,39.64315833
"451","Srirattana2017_SF2",NA,"ATAD1","506045","ATPase family, AAA domain containing 1",NA,3.000077979,"Down",0.0271,"Other","enzyme",1,0,1,1,-3.000077979
"452","Srirattana2017_SF2",NA,"BMP2K","505766","BMP2 inducible kinase",NA,3.724379279,"Down",0.0271,"Nucleus","kinase",1,0,1,1,-3.724379279
"453","Srirattana2017_SF2",NA,"DNMT3B","353354","DNA methyltransferase 3 beta",NA,3.273876726,"Up",0.0271,"Nucleus","enzyme",1,0,1,1,3.273876726
"454","Srirattana2017_SF2",NA,"FIP1L1","100138550","factor interacting with PAPOLA and CPSF1",NA,2.575763259,"Down",0.0271,"Nucleus","other",1,0,1,1,-2.575763259
"455","Srirattana2017_SF2",NA,"FNDC3B","615534","fibronectin type III domain containing 3B",NA,2.698205069,"Down",0.0271,"Cytoplasm","other",1,0,1,1,-2.698205069
"456","Srirattana2017_SF2",NA,"GIN1","504972","gypsy retrotransposon integrase 1",NA,6.493516648,"Down",0.0271,"Other","other",1,0,1,1,-6.493516648
"457","Srirattana2017_SF2",NA,"LY6G6E","512743","lymphocyte antigen 6 complex, locus G6E (pseudogene)",NA,56.92537559,"Up",0.0271,"Other","other",1,0,1,1,56.92537559
"458","Srirattana2017_SF2",NA,"PHC1","540021","polyhomeotic homolog 1",NA,20.35060811,"Up",0.0271,"Nucleus","transcription regulator",1,0,1,1,20.35060811
"459","Srirattana2017_SF2",NA,"SETD1A","782887","SET domain containing 1A",NA,28.48242346,"Up",0.0271,"Nucleus","ion channel",1,0,1,1,28.48242346
"460","Srirattana2017_SF2",NA,"SRSF11","513451","serine and arginine rich splicing factor 11",NA,3.267075964,"Down",0.0271,"Nucleus","other",1,0,1,1,-3.267075964
"461","Srirattana2017_SF2",NA,"TBK1","533141","TANK binding kinase 1",NA,6.315951094,"Down",0.0271,"Cytoplasm","kinase",1,0,1,1,-6.315951094
"462","Srirattana2017_SF2",NA,"TFE3","520800","transcription factor binding to IGHM enhancer 3",NA,6.547753453,"Up",0.0271,"Nucleus","transcription regulator",1,0,1,1,6.547753453
"463","Srirattana2017_SF2",NA,"USP16","519992","ubiquitin specific peptidase 16",NA,2.920064021,"Down",0.0271,"Cytoplasm","peptidase",1,0,1,1,-2.920064021
"464","Srirattana2017_SF2",NA,"WDR18","533356","WD repeat domain 18",NA,46.52712055,"Up",0.0271,"Nucleus","other",1,0,1,1,46.52712055
"465","Srirattana2017_SF2",NA,"XPO1","510568","exportin 1",NA,2.730187436,"Down",0.0272,"Nucleus","transporter",1,0,1,1,-2.730187436
"466","Srirattana2017_SF2",NA,"ABHD12","768242","abhydrolase domain containing 12",NA,8.907372946,"Up",0.0273,"Plasma Membrane","enzyme",1,0,1,1,8.907372946
"467","Srirattana2017_SF2",NA,"ATP13A3","523889","ATPase 13A3",NA,3.403454918,"Down",0.0273,"Extracellular Space","transporter",1,0,1,1,-3.403454918
"468","Srirattana2017_SF2",NA,"ARMC9","536462","armadillo repeat containing 9",NA,46.91573623,"Up",0.0276,"Cytoplasm","other",1,0,1,1,46.91573623
"469","Srirattana2017_SF2",NA,"NDUFA5","327714","NADH:ubiquinone oxidoreductase subunit A5",NA,3.095129987,"Down",0.0277,"Cytoplasm","enzyme",1,0,1,1,-3.095129987
"470","Srirattana2017_SF2",NA,"BEND3","525371","BEN domain containing 3",NA,31.93352701,"Up",0.0278,"Nucleus","other",1,0,1,1,31.93352701
"471","Srirattana2017_SF2",NA,"HNRNPA2B1","507564","heterogeneous nuclear ribonucleoprotein A2/B1",NA,2.419988178,"Down",0.0278,"Nucleus","other",1,0,1,1,-2.419988178
"472","Srirattana2017_SF2",NA,"LIG1","100124507","DNA ligase 1",NA,6.993428963,"Up",0.0278,"Nucleus","enzyme",1,0,1,1,6.993428963
"473","Srirattana2017_SF2",NA,"LMBRD2","510014","LMBR1 domain containing 2",NA,4.322901608,"Down",0.0278,"Other","other",1,0,1,1,-4.322901608
"474","Srirattana2017_SF2",NA,"SCYL1","515247","SCY1 like pseudokinase 1",NA,31.80099499,"Up",0.0278,"Cytoplasm","kinase",1,0,1,1,31.80099499
"475","Srirattana2017_SF2",NA,"TAB2","540203","TGF-beta activated kinase 1/MAP3K7 binding protein 2",NA,2.595477534,"Down",0.0278,"Cytoplasm","other",1,0,1,1,-2.595477534
"476","Srirattana2017_SF2",NA,"VAT1","510698","vesicle amine transport 1",NA,5.307380562,"Up",0.0278,"Plasma Membrane","transporter",1,0,1,1,5.307380562
"477","Srirattana2017_SF2",NA,"XPNPEP2","504822","X-prolyl aminopeptidase 2",NA,3.358925972,"Up",0.028,"Plasma Membrane","peptidase",1,0,1,1,3.358925972
"478","Srirattana2017_SF2",NA,"IGF2BP1","516853","insulin like growth factor 2 mRNA binding protein 1",NA,7.305586,"Up",0.0281,"Cytoplasm","translation regulator",1,0,1,1,7.305586
"479","Srirattana2017_SF2",NA,"PNISR","768209","PNN interacting serine and arginine rich protein",NA,3.424753138,"Down",0.0282,"Nucleus","other",1,0,1,1,-3.424753138
"480","Srirattana2017_SF2",NA,"SRP19","514960","signal recognition particle 19",NA,3.642679334,"Down",0.0282,"Cytoplasm","other",1,0,1,1,-3.642679334
"481","Srirattana2017_SF2",NA,"EHMT1","528606","euchromatic histone lysine methyltransferase 1",NA,23.42537114,"Up",0.0285,"Nucleus","transcription regulator",1,0,1,1,23.42537114
"482","Srirattana2017_SF2",NA,"HIF1A","281814","hypoxia inducible factor 1 alpha subunit",NA,2.611719574,"Down",0.0285,"Nucleus","transcription regulator",1,0,1,1,-2.611719574
"483","Srirattana2017_SF2",NA,"MRPS34","618357","mitochondrial ribosomal protein S34",NA,33.54439922,"Up",0.0285,"Cytoplasm","other",1,0,1,1,33.54439922
"484","Srirattana2017_SF2",NA,"PRKAB1","534107","protein kinase AMP-activated non-catalytic subunit beta 1",NA,11.17342826,"Up",0.0285,"Nucleus","kinase",1,0,1,1,11.17342826
"485","Srirattana2017_SF2",NA,"SUPT6H","538671","SPT6 homolog, histone chaperone",NA,3.112340706,"Up",0.0285,"Nucleus","transcription regulator",1,0,1,1,3.112340706
"486","Srirattana2017_SF2",NA,"ABR","515556","active BCR-related",NA,6.008479708,"Up",0.0287,"Cytoplasm","other",1,0,1,1,6.008479708
"487","Srirattana2017_SF2",NA,"DOLK","526844","dolichol kinase",NA,19.82157916,"Up",0.0287,"Cytoplasm","kinase",1,0,1,1,19.82157916
"488","Srirattana2017_SF2",NA,"DYNLL2","540369","dynein light chain LC8-type 2",NA,2.938337267,"Up",0.0289,"Cytoplasm","other",1,0,1,1,2.938337267
"489","Srirattana2017_SF2",NA,"IFT74","514024","intraflagellar transport 74",NA,6.940309497,"Down",0.0289,"Cytoplasm","other",1,0,1,1,-6.940309497
"490","Srirattana2017_SF2",NA,"ASF1A","618099","anti-silencing function 1A histone chaperone",NA,3.188769906,"Down",0.029,"Nucleus","other",1,0,1,1,-3.188769906
"491","Srirattana2017_SF2",NA,"CERS3","614354","ceramide synthase 3",NA,22.02392963,"Down",0.029,"Nucleus","transcription regulator",1,0,1,1,-22.02392963
"492","Srirattana2017_SF2",NA,"RAD23B","530189","RAD23 homolog B, nucleotide excision repair protein",NA,2.618970846,"Down",0.029,"Nucleus","other",1,0,1,1,-2.618970846
"493","Srirattana2017_SF2",NA,"SMYD5","509313","SMYD family member 5",NA,27.79974992,"Up",0.0291,"Other","other",1,0,1,1,27.79974992
"494","Srirattana2017_SF2",NA,"SPIN1","541068","spindlin 1",NA,2.730187436,"Down",0.0291,"Nucleus","other",1,0,1,1,-2.730187436
"495","Srirattana2017_SF2",NA,"AGPAT6",NA,"glycerol-3-phosphate acyltransferase 4",NA,25.52784767,"Up",0.0292,"Cytoplasm","enzyme",1,0,1,1,25.52784767
"496","Srirattana2017_SF2",NA,"ESF1","533375","ESF1 nucleolar pre-rRNA processing protein homolog",NA,4.331900182,"Down",0.0292,"Nucleus","other",1,0,1,1,-4.331900182
"497","Srirattana2017_SF2",NA,"FARP1","531927","FERM, ARH/RhoGEF and pleckstrin domain protein 1",NA,20.14011478,"Up",0.0292,"Plasma Membrane","other",1,0,1,1,20.14011478
"498","Srirattana2017_SF2",NA,"KIF21A","540076","kinesin family member 21A",NA,3.372924441,"Down",0.0292,"Cytoplasm","other",1,0,1,1,-3.372924441
"499","Srirattana2017_SF2",NA,"KLK5","617418","kallikrein related peptidase 5",NA,36.37814314,"Up",0.0292,"Extracellular Space","peptidase",1,0,1,1,36.37814314
"500","Srirattana2017_SF2",NA,"LAMP1","281897","lysosomal associated membrane protein 1",NA,5.278031643,"Up",0.0292,"Plasma Membrane","other",1,0,1,1,5.278031643
"501","Srirattana2017_SF2",NA,"SEC62","538938","SEC62 homolog, preprotein translocation factor",NA,2.952628811,"Down",0.0292,"Cytoplasm","transporter",1,0,1,1,-2.952628811
"502","Srirattana2017_SF2",NA,"SPRYD4","539560","SPRY domain containing 4",NA,25.07190998,"Up",0.0292,"Cytoplasm","other",1,0,1,1,25.07190998
"503","Srirattana2017_SF2",NA,"TMOD3","533257","tropomodulin 3",NA,2.327853069,"Down",0.0292,"Cytoplasm","other",1,0,1,1,-2.327853069
"504","Srirattana2017_SF2",NA,"USP45","540972","ubiquitin specific peptidase 45",NA,6.629959236,"Down",0.0292,"Nucleus","peptidase",1,0,1,1,-6.629959236
"505","Srirattana2017_SF2",NA,"WWOX","618792","WW domain containing oxidoreductase",NA,44.01733818,"Up",0.0292,"Cytoplasm","enzyme",1,0,1,1,44.01733818
"506","Srirattana2017_SF2",NA,"LATS1","535935","large tumor suppressor kinase 1",NA,3.38228915,"Down",0.0294,"Nucleus","kinase",1,0,1,1,-3.38228915
"507","Srirattana2017_SF2",NA,"FCHO2","540808","FCH domain only 2",NA,4.484664312,"Down",0.0295,"Cytoplasm","other",1,0,1,1,-4.484664312
"508","Srirattana2017_SF2",NA,"TRAM2","617287","translocation associated membrane protein 2",NA,13.49169776,"Up",0.0295,"Other","other",1,0,1,1,13.49169776
"509","Srirattana2017_SF2",NA,"C1GALT1","539417","core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1",NA,3.904127043,"Down",0.0296,"Plasma Membrane","enzyme",1,0,1,1,-3.904127043
"510","Srirattana2017_SF2",NA,"PPIL4","535676","peptidylprolyl isomerase like 4",NA,3.063115994,"Down",0.0296,"Nucleus","enzyme",1,0,1,1,-3.063115994
"511","Srirattana2017_SF2",NA,"SNIP1","525944","Smad nuclear interacting protein 1",NA,29.79503423,"Up",0.0296,"Nucleus","other",1,0,1,1,29.79503423
"512","Srirattana2017_SF2",NA,"SNX29","518366","sorting nexin 29",NA,51.98415337,"Up",0.0296,"Cytoplasm","other",1,0,1,1,51.98415337
"513","Srirattana2017_SF2",NA,"GEN1","785690","GEN1, Holliday junction 5' flap endonuclease",NA,4.931409302,"Down",0.0297,"Cytoplasm","enzyme",1,0,1,1,-4.931409302
"514","Srirattana2017_SF2",NA,"ACTB","280979","actin beta",NA,2.256364275,"Up",0.0299,"Cytoplasm","other",1,0,1,1,2.256364275
"515","Srirattana2017_SF2",NA,"EIF3B","789999","eukaryotic translation initiation factor 3 subunit B",NA,13.03212101,"Up",0.0299,"Cytoplasm","translation regulator",1,0,1,1,13.03212101
"516","Srirattana2017_SF2",NA,"RHOB","515118","ras homolog family member B",NA,2.846126922,"Down",0.0299,"Cytoplasm","enzyme",1,0,1,1,-2.846126922
"517","Srirattana2017_SF2",NA,"MYL9","505964","myosin light chain 9",NA,4.500233939,"Up",0.0301,"Cytoplasm","other",1,0,1,1,4.500233939
"518","Srirattana2017_SF2",NA,"HNRNPA3","782669","heterogeneous nuclear ribonucleoprotein A3",NA,3.590040203,"Down",0.0303,"Nucleus","other",1,0,1,1,-3.590040203
"519","Srirattana2017_SF2",NA,"SLC25A1","282476","solute carrier family 25 member 1",NA,34.39197353,"Up",0.0303,"Other","transporter",1,0,1,1,34.39197353
"520","Srirattana2017_SF2",NA,"TSPAN13","526460","tetraspanin 13",NA,5.735820992,"Down",0.0303,"Plasma Membrane","other",1,0,1,1,-5.735820992
"521","Srirattana2017_SF2",NA,"CREG1","530908","cellular repressor of E1A stimulated genes 1",NA,9.119786182,"Down",0.0304,"Nucleus","transcription regulator",1,0,1,1,-9.119786182
"522","Srirattana2017_SF2",NA,"SUSD2","510458","sushi domain containing 2",NA,5.333194708,"Up",0.0304,"Extracellular Space","other",1,0,1,1,5.333194708
"523","Srirattana2017_SF2",NA,"DKC1","525619","dyskerin pseudouridine synthase 1",NA,3.953142606,"Up",0.0306,"Nucleus","enzyme",1,0,1,1,3.953142606
"524","Srirattana2017_SF2",NA,"ANKRD52","521057","ankyrin repeat domain 52",NA,69.9377753,"Up",0.0309,"Nucleus","transcription regulator",1,0,1,1,69.9377753
"525","Srirattana2017_SF2",NA,"DHRS11","510264","dehydrogenase/reductase 11",NA,16.18965122,"Up",0.0309,"Other","other",1,0,1,1,16.18965122
"526","Srirattana2017_SF2",NA,"DTNB","534119","dystrobrevin beta",NA,23.32815006,"Up",0.0309,"Plasma Membrane","other",1,0,1,1,23.32815006
"527","Srirattana2017_SF2",NA,"ELL2","782605","elongation factor for RNA polymerase II 2",NA,2.846126922,"Down",0.0309,"Nucleus","transcription regulator",1,0,1,1,-2.846126922
"528","Srirattana2017_SF2",NA,"ENPP5","512304","ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)",NA,8.462007709,"Down",0.0309,"Extracellular Space","enzyme",1,0,1,1,-8.462007709
"529","Srirattana2017_SF2",NA,"FASN","281152","fatty acid synthase",NA,4.816549525,"Up",0.0309,"Cytoplasm","enzyme",1,0,1,1,4.816549525
"530","Srirattana2017_SF2",NA,"GALNT3","535458","polypeptide N-acetylgalactosaminyltransferase 3",NA,2.793357065,"Down",0.0309,"Cytoplasm","enzyme",1,0,1,1,-2.793357065
"531","Srirattana2017_SF2",NA,"MAL2","511940","mal, T-cell differentiation protein 2 (gene/pseudogene)",NA,2.850075228,"Down",0.0309,"Plasma Membrane","transporter",1,0,1,1,-2.850075228
"532","Srirattana2017_SF2",NA,"PFAS","520318","phosphoribosylformylglycinamidine synthase",NA,26.87140777,"Up",0.0309,"Cytoplasm","enzyme",1,0,1,1,26.87140777
"533","Srirattana2017_SF2",NA,"PRKCZ","286877","protein kinase C zeta",NA,4.210524619,"Up",0.0309,"Cytoplasm","kinase",1,0,1,1,4.210524619
"534","Srirattana2017_SF2",NA,"SENP6","533853","SUMO1/sentrin specific peptidase 6",NA,2.983488053,"Down",0.0309,"Cytoplasm","peptidase",1,0,1,1,-2.983488053
"535","Srirattana2017_SF2",NA,"UST","535975","uronyl 2-sulfotransferase",NA,14.98035596,"Down",0.0309,"Cytoplasm","enzyme",1,0,1,1,-14.98035596
"536","Srirattana2017_SF2",NA,"MRPL46","540720","mitochondrial ribosomal protein L46",NA,20.01486528,"Up",0.031,"Cytoplasm","other",1,0,1,1,20.01486528
"537","Srirattana2017_SF2",NA,"PHF3","522928","PHD finger protein 3",NA,2.500124605,"Down",0.031,"Nucleus","other",1,0,1,1,-2.500124605
"538","Srirattana2017_SF2",NA,"PLOD3","514996","procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",NA,62.8569341,"Up",0.031,"Cytoplasm","enzyme",1,0,1,1,62.8569341
"539","Srirattana2017_SF2",NA,"COX7B","100300550","cytochrome c oxidase subunit 7B",NA,16.59871899,"Down",0.0312,"Cytoplasm","enzyme",1,0,1,1,-16.59871899
"540","Srirattana2017_SF2",NA,"ECSIT","507245","ECSIT signalling integrator",NA,50.73818474,"Up",0.0312,"Nucleus","transcription regulator",1,0,1,1,50.73818474
"541","Srirattana2017_SF2",NA,"LRRC40","526961","leucine rich repeat containing 40",NA,3.893317497,"Down",0.0312,"Nucleus","other",1,0,1,1,-3.893317497
"542","Srirattana2017_SF2",NA,"MIER1","538742","MIER1 transcriptional regulator",NA,2.824508809,"Down",0.0312,"Nucleus","other",1,0,1,1,-2.824508809
"543","Srirattana2017_SF2",NA,"MMP12","526981","matrix metallopeptidase 12",NA,3.082284433,"Down",0.0312,"Extracellular Space","peptidase",1,0,1,1,-3.082284433
"544","Srirattana2017_SF2",NA,"NOP58","507155","NOP58 ribonucleoprotein",NA,2.650014034,"Down",0.0314,"Nucleus","enzyme",1,0,1,1,-2.650014034
"545","Srirattana2017_SF2",NA,"CHD1","505123","chromodomain helicase DNA binding protein 1",NA,2.414961183,"Down",0.0315,"Nucleus","enzyme",1,0,1,1,-2.414961183
"546","Srirattana2017_SF2",NA,"DNAJA1","528862","DnaJ heat shock protein family (Hsp40) member A1",NA,2.764464413,"Down",0.0315,"Nucleus","other",1,0,1,1,-2.764464413
"547","Srirattana2017_SF2",NA,"EFTUD2","509425","elongation factor Tu GTP binding domain containing 2",NA,8.987999224,"Up",0.0315,"Nucleus","enzyme",1,0,1,1,8.987999224
"548","Srirattana2017_SF2",NA,"FURIN","281374","furin, paired basic amino acid cleaving enzyme",NA,48.84029469,"Up",0.0315,"Cytoplasm","peptidase",1,0,1,1,48.84029469
"549","Srirattana2017_SF2",NA,"IDH3B","613338","isocitrate dehydrogenase 3 (NAD(+)) beta",NA,4.03900519,"Up",0.0315,"Cytoplasm","enzyme",1,0,1,1,4.03900519
"550","Srirattana2017_SF2",NA,"KIAA1715","533298","lunapark, ER junction formation factor",NA,3.228804298,"Down",0.0315,"Cytoplasm","other",1,0,1,1,-3.228804298
"551","Srirattana2017_SF2",NA,"ODF2L","533508","outer dense fiber of sperm tails 2 like",NA,5.921653192,"Down",0.0315,"Cytoplasm","other",1,0,1,1,-5.921653192
"552","Srirattana2017_SF2",NA,"TIMP2","282093","TIMP metallopeptidase inhibitor 2",NA,16.6910175,"Up",0.0315,"Extracellular Space","other",1,0,1,1,16.6910175
"553","Srirattana2017_SF2",NA,"AKT3","100137872","AKT serine/threonine kinase 3",NA,2.597277205,"Down",0.0316,"Cytoplasm","kinase",1,0,1,1,-2.597277205
"554","Srirattana2017_SF2",NA,"CGGBP1","613824","CGG triplet repeat binding protein 1",NA,5.108855037,"Down",0.0316,"Nucleus","transcription regulator",1,0,1,1,-5.108855037
"555","Srirattana2017_SF2",NA,"GCC2","539484","GRIP and coiled-coil domain containing 2",NA,2.668446339,"Down",0.0316,"Cytoplasm","other",1,0,1,1,-2.668446339
"556","Srirattana2017_SF2",NA,"KLHL20","511387","kelch like family member 20",NA,4.607550569,"Down",0.0316,"Plasma Membrane","enzyme",1,0,1,1,-4.607550569
"557","Srirattana2017_SF2",NA,"MLXIPL","788534","MLX interacting protein like",NA,33.80114001,"Up",0.0316,"Nucleus","transcription regulator",1,0,1,1,33.80114001
"558","Srirattana2017_SF2",NA,"RPAP3","510621","RNA polymerase II associated protein 3",NA,2.932233514,"Down",0.0316,"Other","enzyme",1,0,1,1,-2.932233514
"559","Srirattana2017_SF2",NA,"RPS9","533892","ribosomal protein S9",NA,4.883786051,"Up",0.0317,"Cytoplasm","translation regulator",1,0,1,1,4.883786051
"560","Srirattana2017_SF2",NA,"METTL17","514880","methyltransferase like 17",NA,16.03330568,"Up",0.0318,"Nucleus","other",1,0,1,1,16.03330568
"561","Srirattana2017_SF2",NA,"ALDOA","509566","aldolase, fructose-bisphosphate A",NA,5.115942325,"Up",0.032,"Cytoplasm","enzyme",1,0,1,1,5.115942325
"562","Srirattana2017_SF2",NA,"MBNL1","781653","muscleblind like splicing regulator 1",NA,12.96904192,"Down",0.032,"Nucleus","other",1,0,1,1,-12.96904192
"563","Srirattana2017_SF2",NA,"SHB","538275","SH2 domain containing adaptor protein B",NA,31.95566932,"Up",0.032,"Cytoplasm","other",1,0,1,1,31.95566932
"564","Srirattana2017_SF2",NA,"TUFM","281556","Tu translation elongation factor, mitochondrial",NA,5.205367422,"Up",0.0322,"Cytoplasm","translation regulator",1,0,1,1,5.205367422
"565","Srirattana2017_SF2",NA,"FAM117A","509931","family with sequence similarity 117 member A",NA,30.06472797,"Up",0.0323,"Other","transporter",1,0,1,1,30.06472797
"566","Srirattana2017_SF2",NA,"VEZF1","539120","vascular endothelial zinc finger 1",NA,3.491870365,"Down",0.0323,"Nucleus","transcription regulator",1,0,1,1,-3.491870365
"567","Srirattana2017_SF2",NA,"SLK","535342","STE20 like kinase",NA,2.342420362,"Down",0.0325,"Nucleus","kinase",1,0,1,1,-2.342420362
"568","Srirattana2017_SF2",NA,"PAF1","528744","PAF1 homolog, Paf1/RNA polymerase II complex component",NA,4.275223965,"Up",0.0328,"Nucleus","other",1,0,1,1,4.275223965
"569","Srirattana2017_SF2",NA,"WASF2","504482","WAS protein family member 2",NA,3.155787363,"Up",0.0328,"Plasma Membrane","other",1,0,1,1,3.155787363
"570","Srirattana2017_SF2",NA,"ANKRD26","533620","ankyrin repeat domain 26",NA,3.726961717,"Down",0.0329,"Nucleus","transcription regulator",1,0,1,1,-3.726961717
"571","Srirattana2017_SF2",NA,"RPL8","535056","ribosomal protein L8",NA,2.916018758,"Up",0.033,"Other","other",1,0,1,1,2.916018758
"572","Srirattana2017_SF2",NA,"SH3GL1","512719","SH3 domain containing GRB2 like 1, endophilin A2",NA,3.004239854,"Up",0.033,"Cytoplasm","other",1,0,1,1,3.004239854
"573","Srirattana2017_SF2",NA,"BAP1","100124510","BRCA1 associated protein 1",NA,30.84575385,"Up",0.0333,"Nucleus","peptidase",1,0,1,1,30.84575385
"574","Srirattana2017_SF2",NA,"CAMSAP3","616206","calmodulin regulated spectrin associated protein family member 3",NA,13.43570389,"Up",0.0333,"Cytoplasm","other",1,0,1,1,13.43570389
"575","Srirattana2017_SF2",NA,"CCNG1","281671","cyclin G1",NA,2.799171731,"Down",0.0333,"Nucleus","other",1,0,1,1,-2.799171731
"576","Srirattana2017_SF2",NA,"PTGES","282019","prostaglandin E synthase",NA,28.12926595,"Up",0.0333,"Cytoplasm","enzyme",1,0,1,1,28.12926595
"577","Srirattana2017_SF2",NA,"AP1B1","506192","adaptor related protein complex 1 beta 1 subunit",NA,13.10458717,"Up",0.0334,"Cytoplasm","transporter",1,0,1,1,13.10458717
"578","Srirattana2017_SF2",NA,"JUP","445543","junction plakoglobin",NA,5.180171995,"Up",0.0334,"Plasma Membrane","other",1,0,1,1,5.180171995
"579","Srirattana2017_SF2",NA,"ORC4","529245","origin recognition complex subunit 4",NA,4.419857939,"Down",0.0334,"Nucleus","other",1,0,1,1,-4.419857939
"580","Srirattana2017_SF2",NA,"PLSCR1","513193","phospholipid scramblase 1",NA,4.863517133,"Down",0.0334,"Plasma Membrane","enzyme",1,0,1,1,-4.863517133
"581","Srirattana2017_SF2",NA,"ZNF335","535476","zinc finger protein 335",NA,21.66058046,"Up",0.0334,"Nucleus","other",1,0,1,1,21.66058046
"582","Srirattana2017_SF2",NA,"BOK","504851","BOK, BCL2 family apoptosis regulator",NA,29.77438905,"Up",0.0335,"Cytoplasm","other",1,0,1,1,29.77438905
"583","Srirattana2017_SF2",NA,"GPX2","533088","glutathione peroxidase 2",NA,33.17443523,"Up",0.0335,"Cytoplasm","enzyme",1,0,1,1,33.17443523
"584","Srirattana2017_SF2",NA,"MRM1","526282","mitochondrial rRNA methyltransferase 1",NA,31.66901301,"Up",0.0335,"Cytoplasm","other",1,0,1,1,31.66901301
"585","Srirattana2017_SF2",NA,"NUCB2","509003","nucleobindin 2",NA,6.87328604,"Down",0.0335,"Nucleus","other",1,0,1,1,-6.87328604
"586","Srirattana2017_SF2",NA,"SF3A2","789082","splicing factor 3a subunit 2",NA,23.50669813,"Up",0.0335,"Nucleus","other",1,0,1,1,23.50669813
"587","Srirattana2017_SF2",NA,"SIDT2","513462","SID1 transmembrane family member 2",NA,11.41611605,"Up",0.0337,"Cytoplasm","other",1,0,1,1,11.41611605
"588","Srirattana2017_SF2",NA,"FAM83B","540231","family with sequence similarity 83 member B",NA,4.304960499,"Down",0.0338,"Cytoplasm","other",1,0,1,1,-4.304960499
"589","Srirattana2017_SF2",NA,"CDH1","282637","cadherin 1",NA,2.164449289,"Up",0.0339,"Plasma Membrane","other",1,0,1,1,2.164449289
"590","Srirattana2017_SF2",NA,"CHID1","504781","chitinase domain containing 1",NA,22.58041349,"Up",0.0339,"Extracellular Space","other",1,0,1,1,22.58041349
"591","Srirattana2017_SF2",NA,"DSC2","281128","desmocollin 2",NA,3.164549205,"Down",0.0339,"Plasma Membrane","other",1,0,1,1,-3.164549205
"592","Srirattana2017_SF2",NA,"NSA2","522309","NSA2, ribosome biogenesis homolog",NA,4.743657998,"Down",0.0339,"Nucleus","other",1,0,1,1,-4.743657998
"593","Srirattana2017_SF2",NA,"PHF23","539774","PHD finger protein 23",NA,19.73931472,"Up",0.0339,"Other","other",1,0,1,1,19.73931472
"594","Srirattana2017_SF2",NA,"SNX10","508836","sorting nexin 10",NA,7.351303068,"Down",0.0339,"Cytoplasm","transporter",1,0,1,1,-7.351303068
