DataSet,n,GeneSymbol,GeneID,GeneName,Chr,FoldChange,Regulation,FDR,Location,Type,Depleted,SCNT,miNT,TSA
Srirattana2017_SF2,,SLC35A3,520918,solute carrier family 35 member A3,,7.857116762,Down,0.026,Cytoplasm,transporter,1,0,1,1
Srirattana2017_SF2,,TLE3,514326,transducin like enhancer of split 3,,3.61000291,Up,0.026,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,ZBTB1,526903,zinc finger and BTB domain containing 1,,4.013886994,Down,0.026,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,CNOT4,540891,CCR4-NOT transcription complex subunit 4,,5.966976107,Down,0.0261,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,IBTK,540885,inhibitor of Bruton tyrosine kinase,,3.708922186,Down,0.0261,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,VMA21,613674,VMA21 vacuolar H+-ATPase homolog (S. cerevisiae),,2.46741434,Down,0.0261,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,WASF1,531488,WAS protein family member 1,,5.471741216,Down,0.0261,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,CAPNS1,281664,calpain small subunit 1,,3.287520749,Up,0.0262,Cytoplasm,peptidase,1,0,1,1
Srirattana2017_SF2,,PIAS4,534722,protein inhibitor of activated STAT 4,,53.2238143,Up,0.0262,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,PSMC1,506238,"proteasome 26S subunit, ATPase 1",,18.55839447,Up,0.0262,Nucleus,peptidase,1,0,1,1
Srirattana2017_SF2,,SLC30A1,522265,solute carrier family 30 member 1,,3.356598548,Down,0.0262,Plasma Membrane,transporter,1,0,1,1
Srirattana2017_SF2,,EPC2,539432,enhancer of polycomb homolog 2,,3.338037125,Down,0.0263,Other,other,1,0,1,1
Srirattana2017_SF2,,GLG1,281196,golgi glycoprotein 1,,3.213175987,Up,0.0263,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,SASS6,504467,SAS-6 centriolar assembly protein,,3.184352395,Down,0.0264,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,ANXA6,327685,annexin A6,,4.518988858,Up,0.0265,Plasma Membrane,ion channel,1,0,1,1
Srirattana2017_SF2,,MAP3K7,529146,mitogen-activated protein kinase kinase kinase 7,,3.25577274,Down,0.0265,Cytoplasm,kinase,1,0,1,1
Srirattana2017_SF2,,ANXA5,281626,annexin A5,,3.964118253,Down,0.0266,Plasma Membrane,transporter,1,0,1,1
Srirattana2017_SF2,,COTL1,617165,coactosin like F-actin binding protein 1,,3.002158195,Up,0.0266,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,MASTL,540206,microtubule associated serine/threonine kinase like,,5.285353623,Down,0.0266,Cytoplasm,kinase,1,0,1,1
Srirattana2017_SF2,,MFSD5,507921,major facilitator superfamily domain containing 5,,9.740528149,Up,0.0266,Other,transporter,1,0,1,1
Srirattana2017_SF2,,PHRF1,100126170,PHD and ring finger domains 1,,23.10286713,Up,0.0266,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,RPL18,509163,ribosomal protein L18,,3.226567037,Up,0.0266,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,SLC46A1,511097,solute carrier family 46 member 1,,31.60322757,Up,0.0266,Plasma Membrane,transporter,1,0,1,1
Srirattana2017_SF2,,ZNF740,516327,zinc finger protein 740,,38.98912844,Up,0.0266,Other,other,1,0,1,1
Srirattana2017_SF2,,HNRNPH3,539850,heterogeneous nuclear ribonucleoprotein H3,,2.832350876,Down,0.0268,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,HSP90B1,282646,heat shock protein 90 beta family member 1,,2.510543983,Down,0.0268,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,TBCE,505066,tubulin folding cofactor E,,3.724379279,Down,0.0268,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,ESRP2,510878,epithelial splicing regulatory protein 2,,5.285353623,Up,0.0269,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,TCEB1,540859,transcription elongation factor B subunit 1,,3.175535724,Down,0.0269,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,SYMPK,100337373,symplekin,,25.77677731,Up,0.027,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,TRAPPC12,615707,trafficking protein particle complex 12,,36.52975063,Up,0.027,Other,other,1,0,1,1
Srirattana2017_SF2,,ABCF3,530975,ATP binding cassette subfamily F member 3,,39.64315833,Up,0.0271,Other,transporter,1,0,1,1
Srirattana2017_SF2,,ATAD1,506045,"ATPase family, AAA domain containing 1",,3.000077979,Down,0.0271,Other,enzyme,1,0,1,1
Srirattana2017_SF2,,BMP2K,505766,BMP2 inducible kinase,,3.724379279,Down,0.0271,Nucleus,kinase,1,0,1,1
Srirattana2017_SF2,,DNMT3B,353354,DNA methyltransferase 3 beta,,3.273876726,Up,0.0271,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,FIP1L1,100138550,factor interacting with PAPOLA and CPSF1,,2.575763259,Down,0.0271,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,FNDC3B,615534,fibronectin type III domain containing 3B,,2.698205069,Down,0.0271,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,GIN1,504972,gypsy retrotransposon integrase 1,,6.493516648,Down,0.0271,Other,other,1,0,1,1
Srirattana2017_SF2,,LY6G6E,512743,"lymphocyte antigen 6 complex, locus G6E (pseudogene)",,56.92537559,Up,0.0271,Other,other,1,0,1,1
Srirattana2017_SF2,,PHC1,540021,polyhomeotic homolog 1,,20.35060811,Up,0.0271,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,SETD1A,782887,SET domain containing 1A,,28.48242346,Up,0.0271,Nucleus,ion channel,1,0,1,1
Srirattana2017_SF2,,SRSF11,513451,serine and arginine rich splicing factor 11,,3.267075964,Down,0.0271,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,TBK1,533141,TANK binding kinase 1,,6.315951094,Down,0.0271,Cytoplasm,kinase,1,0,1,1
Srirattana2017_SF2,,TFE3,520800,transcription factor binding to IGHM enhancer 3,,6.547753453,Up,0.0271,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,USP16,519992,ubiquitin specific peptidase 16,,2.920064021,Down,0.0271,Cytoplasm,peptidase,1,0,1,1
Srirattana2017_SF2,,WDR18,533356,WD repeat domain 18,,46.52712055,Up,0.0271,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,XPO1,510568,exportin 1,,2.730187436,Down,0.0272,Nucleus,transporter,1,0,1,1
Srirattana2017_SF2,,ABHD12,768242,abhydrolase domain containing 12,,8.907372946,Up,0.0273,Plasma Membrane,enzyme,1,0,1,1
Srirattana2017_SF2,,ATP13A3,523889,ATPase 13A3,,3.403454918,Down,0.0273,Extracellular Space,transporter,1,0,1,1
Srirattana2017_SF2,,ARMC9,536462,armadillo repeat containing 9,,46.91573623,Up,0.0276,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,NDUFA5,327714,NADH:ubiquinone oxidoreductase subunit A5,,3.095129987,Down,0.0277,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,BEND3,525371,BEN domain containing 3,,31.93352701,Up,0.0278,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,HNRNPA2B1,507564,heterogeneous nuclear ribonucleoprotein A2/B1,,2.419988178,Down,0.0278,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,LIG1,100124507,DNA ligase 1,,6.993428963,Up,0.0278,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,LMBRD2,510014,LMBR1 domain containing 2,,4.322901608,Down,0.0278,Other,other,1,0,1,1
Srirattana2017_SF2,,SCYL1,515247,SCY1 like pseudokinase 1,,31.80099499,Up,0.0278,Cytoplasm,kinase,1,0,1,1
Srirattana2017_SF2,,TAB2,540203,TGF-beta activated kinase 1/MAP3K7 binding protein 2,,2.595477534,Down,0.0278,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,VAT1,510698,vesicle amine transport 1,,5.307380562,Up,0.0278,Plasma Membrane,transporter,1,0,1,1
Srirattana2017_SF2,,XPNPEP2,504822,X-prolyl aminopeptidase 2,,3.358925972,Up,0.028,Plasma Membrane,peptidase,1,0,1,1
Srirattana2017_SF2,,IGF2BP1,516853,insulin like growth factor 2 mRNA binding protein 1,,7.305586,Up,0.0281,Cytoplasm,translation regulator,1,0,1,1
Srirattana2017_SF2,,PNISR,768209,PNN interacting serine and arginine rich protein,,3.424753138,Down,0.0282,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,SRP19,514960,signal recognition particle 19,,3.642679334,Down,0.0282,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,EHMT1,528606,euchromatic histone lysine methyltransferase 1,,23.42537114,Up,0.0285,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,HIF1A,281814,hypoxia inducible factor 1 alpha subunit,,2.611719574,Down,0.0285,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,MRPS34,618357,mitochondrial ribosomal protein S34,,33.54439922,Up,0.0285,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,PRKAB1,534107,protein kinase AMP-activated non-catalytic subunit beta 1,,11.17342826,Up,0.0285,Nucleus,kinase,1,0,1,1
Srirattana2017_SF2,,SUPT6H,538671,"SPT6 homolog, histone chaperone",,3.112340706,Up,0.0285,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,ABR,515556,active BCR-related,,6.008479708,Up,0.0287,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,DOLK,526844,dolichol kinase,,19.82157916,Up,0.0287,Cytoplasm,kinase,1,0,1,1
Srirattana2017_SF2,,DYNLL2,540369,dynein light chain LC8-type 2,,2.938337267,Up,0.0289,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,IFT74,514024,intraflagellar transport 74,,6.940309497,Down,0.0289,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,ASF1A,618099,anti-silencing function 1A histone chaperone,,3.188769906,Down,0.029,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,CERS3,614354,ceramide synthase 3,,22.02392963,Down,0.029,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,RAD23B,530189,"RAD23 homolog B, nucleotide excision repair protein",,2.618970846,Down,0.029,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,SMYD5,509313,SMYD family member 5,,27.79974992,Up,0.0291,Other,other,1,0,1,1
Srirattana2017_SF2,,SPIN1,541068,spindlin 1,,2.730187436,Down,0.0291,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,AGPAT6,NA,glycerol-3-phosphate acyltransferase 4,,25.52784767,Up,0.0292,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,ESF1,533375,ESF1 nucleolar pre-rRNA processing protein homolog,,4.331900182,Down,0.0292,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,FARP1,531927,"FERM, ARH/RhoGEF and pleckstrin domain protein 1",,20.14011478,Up,0.0292,Plasma Membrane,other,1,0,1,1
Srirattana2017_SF2,,KIF21A,540076,kinesin family member 21A,,3.372924441,Down,0.0292,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,KLK5,617418,kallikrein related peptidase 5,,36.37814314,Up,0.0292,Extracellular Space,peptidase,1,0,1,1
Srirattana2017_SF2,,LAMP1,281897,lysosomal associated membrane protein 1,,5.278031643,Up,0.0292,Plasma Membrane,other,1,0,1,1
Srirattana2017_SF2,,SEC62,538938,"SEC62 homolog, preprotein translocation factor",,2.952628811,Down,0.0292,Cytoplasm,transporter,1,0,1,1
Srirattana2017_SF2,,SPRYD4,539560,SPRY domain containing 4,,25.07190998,Up,0.0292,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,TMOD3,533257,tropomodulin 3,,2.327853069,Down,0.0292,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,USP45,540972,ubiquitin specific peptidase 45,,6.629959236,Down,0.0292,Nucleus,peptidase,1,0,1,1
Srirattana2017_SF2,,WWOX,618792,WW domain containing oxidoreductase,,44.01733818,Up,0.0292,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,LATS1,535935,large tumor suppressor kinase 1,,3.38228915,Down,0.0294,Nucleus,kinase,1,0,1,1
Srirattana2017_SF2,,FCHO2,540808,FCH domain only 2,,4.484664312,Down,0.0295,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,TRAM2,617287,translocation associated membrane protein 2,,13.49169776,Up,0.0295,Other,other,1,0,1,1
Srirattana2017_SF2,,C1GALT1,539417,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1",,3.904127043,Down,0.0296,Plasma Membrane,enzyme,1,0,1,1
Srirattana2017_SF2,,PPIL4,535676,peptidylprolyl isomerase like 4,,3.063115994,Down,0.0296,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,SNIP1,525944,Smad nuclear interacting protein 1,,29.79503423,Up,0.0296,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,SNX29,518366,sorting nexin 29,,51.98415337,Up,0.0296,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,GEN1,785690,"GEN1, Holliday junction 5' flap endonuclease",,4.931409302,Down,0.0297,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,ACTB,280979,actin beta,,2.256364275,Up,0.0299,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,EIF3B,789999,eukaryotic translation initiation factor 3 subunit B,,13.03212101,Up,0.0299,Cytoplasm,translation regulator,1,0,1,1
Srirattana2017_SF2,,RHOB,515118,ras homolog family member B,,2.846126922,Down,0.0299,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,MYL9,505964,myosin light chain 9,,4.500233939,Up,0.0301,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,HNRNPA3,782669,heterogeneous nuclear ribonucleoprotein A3,,3.590040203,Down,0.0303,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,SLC25A1,282476,solute carrier family 25 member 1,,34.39197353,Up,0.0303,Other,transporter,1,0,1,1
Srirattana2017_SF2,,TSPAN13,526460,tetraspanin 13,,5.735820992,Down,0.0303,Plasma Membrane,other,1,0,1,1
Srirattana2017_SF2,,CREG1,530908,cellular repressor of E1A stimulated genes 1,,9.119786182,Down,0.0304,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,SUSD2,510458,sushi domain containing 2,,5.333194708,Up,0.0304,Extracellular Space,other,1,0,1,1
Srirattana2017_SF2,,DKC1,525619,dyskerin pseudouridine synthase 1,,3.953142606,Up,0.0306,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,ANKRD52,521057,ankyrin repeat domain 52,,69.9377753,Up,0.0309,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,DHRS11,510264,dehydrogenase/reductase 11,,16.18965122,Up,0.0309,Other,other,1,0,1,1
Srirattana2017_SF2,,DTNB,534119,dystrobrevin beta,,23.32815006,Up,0.0309,Plasma Membrane,other,1,0,1,1
Srirattana2017_SF2,,ELL2,782605,elongation factor for RNA polymerase II 2,,2.846126922,Down,0.0309,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,ENPP5,512304,ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative),,8.462007709,Down,0.0309,Extracellular Space,enzyme,1,0,1,1
Srirattana2017_SF2,,FASN,281152,fatty acid synthase,,4.816549525,Up,0.0309,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,GALNT3,535458,polypeptide N-acetylgalactosaminyltransferase 3,,2.793357065,Down,0.0309,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,MAL2,511940,"mal, T-cell differentiation protein 2 (gene/pseudogene)",,2.850075228,Down,0.0309,Plasma Membrane,transporter,1,0,1,1
Srirattana2017_SF2,,PFAS,520318,phosphoribosylformylglycinamidine synthase,,26.87140777,Up,0.0309,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,PRKCZ,286877,protein kinase C zeta,,4.210524619,Up,0.0309,Cytoplasm,kinase,1,0,1,1
Srirattana2017_SF2,,SENP6,533853,SUMO1/sentrin specific peptidase 6,,2.983488053,Down,0.0309,Cytoplasm,peptidase,1,0,1,1
Srirattana2017_SF2,,UST,535975,uronyl 2-sulfotransferase,,14.98035596,Down,0.0309,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,MRPL46,540720,mitochondrial ribosomal protein L46,,20.01486528,Up,0.031,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,PHF3,522928,PHD finger protein 3,,2.500124605,Down,0.031,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,PLOD3,514996,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",,62.8569341,Up,0.031,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,COX7B,100300550,cytochrome c oxidase subunit 7B,,16.59871899,Down,0.0312,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,ECSIT,507245,ECSIT signalling integrator,,50.73818474,Up,0.0312,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,LRRC40,526961,leucine rich repeat containing 40,,3.893317497,Down,0.0312,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,MIER1,538742,MIER1 transcriptional regulator,,2.824508809,Down,0.0312,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,MMP12,526981,matrix metallopeptidase 12,,3.082284433,Down,0.0312,Extracellular Space,peptidase,1,0,1,1
Srirattana2017_SF2,,NOP58,507155,NOP58 ribonucleoprotein,,2.650014034,Down,0.0314,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,CHD1,505123,chromodomain helicase DNA binding protein 1,,2.414961183,Down,0.0315,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,DNAJA1,528862,DnaJ heat shock protein family (Hsp40) member A1,,2.764464413,Down,0.0315,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,EFTUD2,509425,elongation factor Tu GTP binding domain containing 2,,8.987999224,Up,0.0315,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,FURIN,281374,"furin, paired basic amino acid cleaving enzyme",,48.84029469,Up,0.0315,Cytoplasm,peptidase,1,0,1,1
Srirattana2017_SF2,,IDH3B,613338,isocitrate dehydrogenase 3 (NAD(+)) beta,,4.03900519,Up,0.0315,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,KIAA1715,533298,"lunapark, ER junction formation factor",,3.228804298,Down,0.0315,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,ODF2L,533508,outer dense fiber of sperm tails 2 like,,5.921653192,Down,0.0315,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,TIMP2,282093,TIMP metallopeptidase inhibitor 2,,16.6910175,Up,0.0315,Extracellular Space,other,1,0,1,1
Srirattana2017_SF2,,AKT3,100137872,AKT serine/threonine kinase 3,,2.597277205,Down,0.0316,Cytoplasm,kinase,1,0,1,1
Srirattana2017_SF2,,CGGBP1,613824,CGG triplet repeat binding protein 1,,5.108855037,Down,0.0316,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,GCC2,539484,GRIP and coiled-coil domain containing 2,,2.668446339,Down,0.0316,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,KLHL20,511387,kelch like family member 20,,4.607550569,Down,0.0316,Plasma Membrane,enzyme,1,0,1,1
Srirattana2017_SF2,,MLXIPL,788534,MLX interacting protein like,,33.80114001,Up,0.0316,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,RPAP3,510621,RNA polymerase II associated protein 3,,2.932233514,Down,0.0316,Other,enzyme,1,0,1,1
Srirattana2017_SF2,,RPS9,533892,ribosomal protein S9,,4.883786051,Up,0.0317,Cytoplasm,translation regulator,1,0,1,1
Srirattana2017_SF2,,METTL17,514880,methyltransferase like 17,,16.03330568,Up,0.0318,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,ALDOA,509566,"aldolase, fructose-bisphosphate A",,5.115942325,Up,0.032,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,MBNL1,781653,muscleblind like splicing regulator 1,,12.96904192,Down,0.032,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,SHB,538275,SH2 domain containing adaptor protein B,,31.95566932,Up,0.032,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,TUFM,281556,"Tu translation elongation factor, mitochondrial",,5.205367422,Up,0.0322,Cytoplasm,translation regulator,1,0,1,1
Srirattana2017_SF2,,FAM117A,509931,family with sequence similarity 117 member A,,30.06472797,Up,0.0323,Other,transporter,1,0,1,1
Srirattana2017_SF2,,VEZF1,539120,vascular endothelial zinc finger 1,,3.491870365,Down,0.0323,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,SLK,535342,STE20 like kinase,,2.342420362,Down,0.0325,Nucleus,kinase,1,0,1,1
Srirattana2017_SF2,,PAF1,528744,"PAF1 homolog, Paf1/RNA polymerase II complex component",,4.275223965,Up,0.0328,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,WASF2,504482,WAS protein family member 2,,3.155787363,Up,0.0328,Plasma Membrane,other,1,0,1,1
Srirattana2017_SF2,,ANKRD26,533620,ankyrin repeat domain 26,,3.726961717,Down,0.0329,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,RPL8,535056,ribosomal protein L8,,2.916018758,Up,0.033,Other,other,1,0,1,1
Srirattana2017_SF2,,SH3GL1,512719,"SH3 domain containing GRB2 like 1, endophilin A2",,3.004239854,Up,0.033,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,BAP1,100124510,BRCA1 associated protein 1,,30.84575385,Up,0.0333,Nucleus,peptidase,1,0,1,1
Srirattana2017_SF2,,CAMSAP3,616206,calmodulin regulated spectrin associated protein family member 3,,13.43570389,Up,0.0333,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,CCNG1,281671,cyclin G1,,2.799171731,Down,0.0333,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,PTGES,282019,prostaglandin E synthase,,28.12926595,Up,0.0333,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,AP1B1,506192,adaptor related protein complex 1 beta 1 subunit,,13.10458717,Up,0.0334,Cytoplasm,transporter,1,0,1,1
Srirattana2017_SF2,,JUP,445543,junction plakoglobin,,5.180171995,Up,0.0334,Plasma Membrane,other,1,0,1,1
Srirattana2017_SF2,,ORC4,529245,origin recognition complex subunit 4,,4.419857939,Down,0.0334,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,PLSCR1,513193,phospholipid scramblase 1,,4.863517133,Down,0.0334,Plasma Membrane,enzyme,1,0,1,1
Srirattana2017_SF2,,ZNF335,535476,zinc finger protein 335,,21.66058046,Up,0.0334,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,BOK,504851,"BOK, BCL2 family apoptosis regulator",,29.77438905,Up,0.0335,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,GPX2,533088,glutathione peroxidase 2,,33.17443523,Up,0.0335,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,MRM1,526282,mitochondrial rRNA methyltransferase 1,,31.66901301,Up,0.0335,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,NUCB2,509003,nucleobindin 2,,6.87328604,Down,0.0335,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,SF3A2,789082,splicing factor 3a subunit 2,,23.50669813,Up,0.0335,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,SIDT2,513462,SID1 transmembrane family member 2,,11.41611605,Up,0.0337,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,FAM83B,540231,family with sequence similarity 83 member B,,4.304960499,Down,0.0338,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,CDH1,282637,cadherin 1,,2.164449289,Up,0.0339,Plasma Membrane,other,1,0,1,1
Srirattana2017_SF2,,CHID1,504781,chitinase domain containing 1,,22.58041349,Up,0.0339,Extracellular Space,other,1,0,1,1
Srirattana2017_SF2,,DSC2,281128,desmocollin 2,,3.164549205,Down,0.0339,Plasma Membrane,other,1,0,1,1
Srirattana2017_SF2,,NSA2,522309,"NSA2, ribosome biogenesis homolog",,4.743657998,Down,0.0339,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,PHF23,539774,PHD finger protein 23,,19.73931472,Up,0.0339,Other,other,1,0,1,1
Srirattana2017_SF2,,SNX10,508836,sorting nexin 10,,7.351303068,Down,0.0339,Cytoplasm,transporter,1,0,1,1
Srirattana2017_SF2,,WBP4,506275,WW domain binding protein 4,,3.044066762,Down,0.0339,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,ALAS1,534286,5'-aminolevulinate synthase 1,,19.09337189,Up,0.034,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,ARL14EP,523894,ADP ribosylation factor like GTPase 14 effector protein,,2.737767626,Down,0.0342,Other,other,1,0,1,1
Srirattana2017_SF2,,CEP95,506840,centrosomal protein 95,,3.016760153,Down,0.0343,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,ZNF583,789836,zinc finger protein 583,,4.25748073,Down,0.0343,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,EIF3L,514449,eukaryotic translation initiation factor 3 subunit L,,2.500124605,Up,0.0344,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,PGM1,534402,phosphoglucomutase 1,,64,Up,0.0345,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,XAB2,528991,XPA binding protein 2,,17.66718155,Up,0.0346,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,ARHGAP31,515490,Rho GTPase activating protein 31,,31.36318129,Up,0.0347,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,CLTB,281698,clathrin light chain B,,15.23164654,Up,0.0347,Plasma Membrane,other,1,0,1,1
Srirattana2017_SF2,,DAB2IP,541268,DAB2 interacting protein,,35.92708551,Up,0.0347,Plasma Membrane,other,1,0,1,1
Srirattana2017_SF2,,EIF3D,515226,eukaryotic translation initiation factor 3 subunit D,,2.635359903,Up,0.0347,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,FOLR3,516067,folate receptor 3,,32.46920149,Up,0.0347,Extracellular Space,other,1,0,1,1
Srirattana2017_SF2,,LUC7L3,539955,LUC7 like 3 pre-mRNA splicing factor,,3.071620539,Down,0.0347,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,SEC14L1,513449,SEC14 like lipid binding 1,,3.60500185,Up,0.0347,Cytoplasm,transporter,1,0,1,1
Srirattana2017_SF2,,THOC2,507738,THO complex 2,,2.508804409,Down,0.0347,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,URB1,530483,URB1 ribosome biogenesis 1 homolog (S. cerevisiae),,32.6497491,Up,0.0347,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,ZNF408,617377,zinc finger protein 408,,30.73903565,Up,0.0347,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,EDC3,517979,enhancer of mRNA decapping 3,,9.526854795,Up,0.035,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,EPB41L4A,519867,erythrocyte membrane protein band 4.1 like 4A,,2.608101471,Down,0.035,Extracellular Space,other,1,0,1,1
Srirattana2017_SF2,,NBN,522943,nibrin,,3.206501318,Down,0.035,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,PRRC2A,538553,proline rich coiled-coil 2A,,11.76965397,Up,0.035,Cytoplasm,other,1,0,1,1
